rating,review
5,They arrived in perfect condition.The headphones connect well to any device like my cell phone and my ipad.The noise cancellation works perfectly and the features included in the headphones are practical and easy to use.
5,A present for my husband who owns a cleaning company and often needs to answer calls. We love this product he is able to clean and work while taking to clients or family. This earbuds are so comfortable that he literally keeps them all day long. Thanks
4,It’s not quite what I expected but I’m just now checking them out if I do I will let you know.Thx
5,Does exactly what I need it to and doesn't fall out of my ear like a lot of headphones do.
5,Great earphones if you’re on a budget. It lasts more than 4 hours without charging the earphones! Only problem I had was that the bass was weak.
5,I like that it is small and it fits in my ear so comfortable
5,great quality for the price. comfortable and loud!
5,This is very good you can hear clearI use them with my iPad I love them
5,Product was easy to used  sound was good
5,It had very good volume and the battery last longer.
5,The Wireless Earbud stays snug in my ear they are use for working out.
5,This is the one of the best thing
5,Good microphone and clear sound quality.
5,Works as should
5,Wanted a wireless earbuds without compromising a lot of money. This work great and the battery last a lot
2,Again I have been taken in by false advertising. Again I have been lured by a too good to be true description. The only way these headphones can provide noise cancellation is if I turn up the volume so loud I can’t here anything but music.  Don’t get me wrong. They play music and they connect to my iPhone just fine. But noise canceling.  There is none. I’ll count this as bad purchase number 5. You got to be careful when ordering online.  I wonder these days if I can trust anything I purchase thru Amazon.
1,The item was not what I expected could not heart
1,Sound 5/10  volumen 1/10  Bluetooth 1/10 .
5,I am more than pleased with the quality of these headphones.  Saw a comment about the weak bass and I can absolutely tell you that the individual likely needed to adjust the placement of the headphones in their ear because these headphones have "booming bass".I've used them for Zoom and Skype calls at work. A warning however I was told that the mic is apparently super sensitive because it was picking up quite a bit of background noise.
5,First off I loved the sound I was not expecting the sound to be as good as it is. This is my first pair of buds with a charging caseboy let me tell you what I am never going back to plug and charge type buds.To be honest about it I did have a bit of trouble with pairing to my phone but I won. Its all good now.
5,Ear buds never stay in place for me so I wanted a pair that had the hook over the ear. These are so comfortable and honestly they fit so well in my ear I think I’d be fine without it. The sound quality is great. I use them everyday and am very pleased with this purchase.
5,I love the way it sounds it's very natural the only bad thing about it was when they delivered it they put it on my car hood and left that was very weird.The ear fits are great even my wife used it and she said it works very well.The other thing is the battery so far the battery last long for over 5 hours it's amazing
5,Love these earbuds all others fall off but these stay put soon as you put them on.
5,Loving this affordable set of headphones. Great over-ear fit and love the bonus of the digital charging display so I know how much charge is left in the case.
5,These ear buds are amazing. Great sound the battery is long lasting. Just a wonderful product.
5,Bass is good as described on the website....Fits just right on my ears....Overall good for the price of these ear buds....
5,These ear buds are very comfortable and feel very secure on your ear when exercising. Shipping was quick and the details of product were accurate.
5,The earphones were purchased for me but when my husband listened to them and said “they were the best earphones he had listened to” I gifted them to him.  Thank you they’re Great!
