rating,review
5,I liked that the cartridges were easy to install.Color was perfect. All the colors were included at a low price. I am happy with my purchase.  Since I just installed them I don't know what the longevity is but I'm expecting them to last awhile. Thanks for making a great product.
5,fast shipping great quality ink for the price and the amount of ink in the cartridges is good. I dont usually leave reviews but I am very satisfied. I will be repurchasing from them in the future.
4,Easy to install and good print quality.
5,Great price for the product. Cheaper than Walmart or any other place. Fits in my printer great
4,I’m happy with the quality of the product for the price poinr!
5,Came in a timely manner & works very well I will be ordering this product again!
5,I’ve been so frustrated with the high cost of ink cartridges for my Canon printer.  I finally decided to give an “off brand@ a try and am so glad I did.  The cartridge pack was much cheaper and the quality is just as good. I’ll be buying more for sure.
5,I received the product very quickly the cost was 1/2 what I priced at a local retail store and my documents print clearly whether for color or black and white. It is excellent quality with low cost and speedy delivery.  I will definitely use this vendor for my future printer ink.
5,I was skeptical about buying ink that was not named Canon. I tried it and I am very happy. So much more affordable than the name brand ink.
5,Great price and good quality!! Frist time buying ink and so happy with it
5,Excelente way better than I expected 100% recommended
4,The print quality is great. The only issue is - one cartridge slightly leaked when installing
5,Great product
5,The product arrived quickly. It contains all the cartridges I need.
5,The quality of the product is good
5,This was the best ink cartridge pack and the best money could buy!
4,Wouldn’t print with these cartridges. Nothing wrong with the cartridges. Continued to get a paper jam error when none existed.  Ended up replacing the canon printer.
5,Great colors. Came with a color I have not used yet (photo blue) looking forward to using it soon. Great product for the price
5,This product works just as well as original canon ink the value and quality are fantastic I will definitely be purchasing this product again.I have a canon printer and the prints came out beautiful 🙂
5,The ink was good!
5,I haven't experienced any problems with this product.
5,This ink works as advertised. Great value.
5,Easy to install and use
5,Works as advertised. Happy with my purchase.
5,Liked the quality of the product and the ease of getting it ordered
5,I like the product the quality is great.
5,It’s a nice cartridge.
5,These work as expected and what more can you ask for
5,Quick delivery. Great product at good price
5,I love how much I can print with these cartridges.
5,Excelente calidad
5,Para imprimir las tareas dei hijo
5,Print quality is Outstanding!
5,Great deal for the amount of ink you get and lasts long!
5,Awesom ink and my printer recognizes it at genuine cannon cartridges
5,It came in a timely fashion and the print is great!!
5,Plugged right into the printer and started printing. Zero issues. 👍
5,Great product. Great price. Definitely recommend.
5,I like that both paper and photo printing shows vibrant colors and gives me satisfactory good quality prints.
5,Just finished buying. Working great so far
5,This was a great deal.  The ink worked just as good as the Canon brand for 1/3 of the price!
5,Seems like a fine option for Canon printer ink
5,Great ink!
5,Works great in printer.  Clean printing and colors.
5,Quick shipping and ink quality is great so far
3,Read the product description very carefully.  Although similar packaging these ink replacement cartridges are NOT genuine Canon but non-OEM replacement.  At this point I don't know if the ink cartridge replacements will function properly but I would have ordered genuine Canon cartridges if I hadn't been misled by the package.
2,Printer accepted one so far but they leak which Canon"s never did. Not sure about print quality yet.
1,Deceptive! The picture shows a product that APPEARS to be Canon OEM BUT it's NOT! Come in a different box. Returned and refunded.
1,This is not what is shown in the picture before the description.  I am not happy.  Although I am sure it says somewhere right there what it is it is misleading from the picture.  Thanks but no thanks
1,Desciption says Canon ink but it's not and it will ruin your printer and void your parinter warranty.
5,Timely delivery. Product was actually better than what I anticipated (XL Black cartridge)…will purchase again!
5,The color printing of this product is similar to the original. I can't see any difference.
5,I love this ink. The quality is a 10/10 and not only do the papers appear to be very clear but the ink also lasts you for months!
1,Despite the picture this is not genuine Canon ink. I have no idea how it works because I never put generic ink in my printer. Bad experiences in the past.
5,This product not only a money saver but bright colors definitely worth it
5,Sharp colors! Works well and easy to install! Just what we needed
1,This company uses deceptive visuals on the website to make it look exactly like the Canon product and makes you think you are buying actual Canon ink when in fact it is just generic ink.
